hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days
Isidore (2002),2002-09-14 to 2002-09-27,Category 3,22,"Jamaica; Cayman Islands; Cuba; Yucatan Peninsula; Louisiana",Not reported,1.0,13
Kyle (2002),2002-09-20 to 2002-10-12,Category 1,0,"Bermuda; South Carolina",Not reported,0.01,22
Lili (2002),2002-09-21 to 2002-10-04,Category 4,15,"Windward Islands; Jamaica; Cayman Islands; Cuba; Louisiana",Not reported,1.1,13
Alma (2002),2002-05-25 to 2002-05-29,Category 2,0,None reported,Not reported,0,4
Douglas (2002),2002-07-15 to 2002-07-22,Category 2,0,None reported,Not reported,0,7
Elida (2002),2002-07-29 to 2002-08-04,Category 3,0,None reported,Not reported,0,6
Fausto (2002),2002-09-19 to 2002-09-25,Category 1,0,None reported,Not reported,0,6
Hernan (2002),2002-09-30 to 2002-10-06,Category 3,0,Western Mexico,Not reported,0,6
Kenna (2002),2002-10-22 to 2002-10-26,Category 5,4,"Jalisco; Nayarit; Sinaloa",Not reported,0.2,4
Claudette (2003),2003-07-08 to 2003-07-17,Category 1,3,"Yucatan Peninsula; Texas",Not reported,0.18,9
Danny (2003),2003-07-16 to 2003-07-21,Category 1,0,None reported,Not reported,0,5
Fabian (2003),2003-08-25 to 2003-09-08,Category 4,8,"Bermuda; Puerto Rico",Not reported,0.3,14
Isabel (2003),2003-09-06 to 2003-09-19,Category 5,51,"North Carolina; Mid-Atlantic United States; Bahamas",Not reported,3.6,13
Juan (2003),2003-09-24 to 2003-09-29,Category 2,8,"Nova Scotia; Bermuda",Not reported,0.15,5
Kate (2003),2003-09-25 to 2003-10-07,Category 3,0,None reported,Not reported,0,12
Ignacio (2003),2003-08-22 to 2003-08-27,Category 2,2,Baja California Sur,Not reported,0.02,5
Jimena (2003),2003-08-28 to 2003-09-04,Category 4,0,None reported,Not reported,0,7
Linda (2003),2003-09-09 to 2003-09-17,Category 4,0,None reported,Not reported,0,8
Marty (2003),2003-09-18 to 2003-09-24,Category 2,12,"Baja California Sur; Sinaloa",Not reported,0.05,6
Nora (2003),2003-09-30 to 2003-10-08,Category 4,0,None reported,Not reported,0,8
Olaf (2003),2003-10-03 to 2003-10-11,Category 1,3,Southwestern Mexico,Not reported,0.01,8
Patricia (2003),2003-10-04 to 2003-10-08,Category 1,0,None reported,Not reported,0,4
Alex (2004),2004-07-31 to 2004-08-06,Category 2,0,North Carolina,Not reported,0.01,6
Charley (2004),2004-08-09 to 2004-08-15,Category 4,10,"Cuba; Jamaica; Florida; South Carolina",Not reported,16.9,6
Danielle (2004),2004-08-13 to 2004-08-21,Category 2,0,None reported,Not reported,0,8
Frances (2004),2004-08-25 to 2004-09-08,Category 4,49,"Bahamas; Florida; Eastern United States",Not reported,9.8,14
Gaston (2004),2004-08-27 to 2004-09-01,Category 1,8,South Carolina,Not reported,0.13,5
Ivan (2004),2004-09-02 to 2004-09-24,Category 5,124,"Grenada; Jamaica; Cuba; Gulf Coast of the United States",Not reported,20.5,22
Jeanne (2004),2004-09-13 to 2004-09-28,Category 3,3037,"Puerto Rico; Dominican Republic; Haiti; Bahamas; Florida",Not reported,7.9,15
Karl (2004),2004-09-16 to 2004-09-24,Category 4,0,None reported,Not reported,0,8
Lisa (2004),2004-09-19 to 2004-10-03,Category 1,0,None reported,Not reported,0,14
Celia (2004),2004-06-13 to 2004-06-21,Category 5,0,None reported,Not reported,0,8
Darby (2004),2004-06-22 to 2004-06-28,Category 4,0,None reported,Not reported,0,6
Frank (2004),2004-08-22 to 2004-08-30,Category 2,0,None reported,Not reported,0,8
Howard (2004),2004-08-31 to 2004-09-06,Category 4,0,None reported,Not reported,0,6
Isis (2004),2004-09-14 to 2004-09-20,Category 1,4,Baja California Sur,Not reported,0.01,6
Javier (2004),2004-09-11 to 2004-09-19,Category 4,0,Baja California Sur,Not reported,0.01,8
Cindy (2005),2005-07-03 to 2005-07-07,Category 1,3,"Yucatan Peninsula; Louisiana",Not reported,0.32,4
Dennis (2005),2005-07-04 to 2005-07-18,Category 4,89,"Haiti; Jamaica; Cuba; Florida Panhandle",Not reported,3.9,14
Emily (2005),2005-07-11 to 2005-07-21,Category 5,17,"Windward Islands; Jamaica; Yucatan Peninsula; Mexico",Not reported,1.01,10
Irene (2005),2005-08-04 to 2005-08-18,Category 2,0,None reported,Not reported,0,14
Katrina (2005),2005-08-23 to 2005-08-31,Category 5,1392,"Bahamas; Florida; Louisiana; Mississippi; Alabama",Not reported,125.0,8
Maria (2005),2005-09-01 to 2005-09-10,Category 3,0,None reported,Not reported,0,9
Nate (2005),2005-09-05 to 2005-09-10,Category 1,0,Bermuda,Not reported,0,5
Ophelia (2005),2005-09-06 to 2005-09-17,Category 1,1,"Florida; North Carolina",Not reported,0.07,11
Philippe (2005),2005-09-17 to 2005-09-23,Category 1,0,None reported,Not reported,0,6
Rita (2005),2005-09-18 to 2005-09-26,Category 5,120,"Florida Keys; Texas; Louisiana",Not reported,18.5,8
Stan (2005),2005-10-01 to 2005-10-05,Category 1,1668,"Central America; Southern Mexico",Not reported,3.9,4
Vince (2005),2005-10-08 to 2005-10-11,Category 1,0,"Spain; Portugal",Not reported,0,3
Wilma (2005),2005-10-15 to 2005-10-25,Category 5,87,"Jamaica; Yucatan Peninsula; Cuba; Florida",Not reported,29.0,10
Beta (2005),2005-10-26 to 2005-10-31,Category 3,9,"Nicaragua; Colombia",Not reported,0.015,5
Epsilon (2005),2005-11-29 to 2005-12-08,Category 1,0,None reported,Not reported,0,9
Adrian (2005),2005-05-17 to 2005-05-21,Category 1,9,El Salvador,Not reported,0.02,4
Fernanda (2005),2005-07-22 to 2005-07-29,Category 4,0,None reported,Not reported,0,7
Hilary (2005),2005-09-19 to 2005-09-24,Category 4,0,None reported,Not reported,0,5
Jova (2005),2005-09-25 to 2005-09-30,Category 1,0,None reported,Not reported,0,5
Kenneth (2005),2005-09-14 to 2005-09-23,Category 4,0,None reported,Not reported,0,9
Max (2005),2005-10-01 to 2005-10-06,Category 1,0,Southwestern Mexico,Not reported,0,5
Otis (2005),2005-09-20 to 2005-09-23,Category 1,0,None reported,Not reported,0,3
Ernesto (2006),2006-08-24 to 2006-09-01,Category 1,7,"Haiti; Cuba; Florida; North Carolina",Not reported,0.5,9
Florence (2006),2006-09-03 to 2006-09-12,Category 1,0,Bermuda,Not reported,0,10
Gordon (2006),2006-09-10 to 2006-09-20,Category 3,0,Azores,Not reported,0,11
Helene (2006),2006-09-12 to 2006-09-24,Category 3,0,None reported,Not reported,0,13
Isaac (2006),2006-09-28 to 2006-10-02,Category 1,0,Newfoundland,Not reported,0,5
Bud (2006),2006-05-10 to 2006-05-15,Category 4,0,None reported,Not reported,0,6
Carlotta (2006),2006-06-12 to 2006-06-17,Category 1,0,None reported,Not reported,0,6
Daniel (2006),2006-07-16 to 2006-07-26,Category 4,0,Hawaiian Islands,Not reported,0,11
Hector (2006),2006-08-16 to 2006-08-24,Category 3,0,None reported,Not reported,0,9
Ileana (2006),2006-08-22 to 2006-08-27,Category 4,0,None reported,Not reported,0,6
John (2006),2006-08-28 to 2006-09-04,Category 4,6,"Baja California Sur; Sinaloa",Not reported,0.13,8
Kristy (2006),2006-08-24 to 2006-08-27,Category 1,0,None reported,Not reported,0,4
Lane (2006),2006-09-13 to 2006-09-17,Category 3,4,"Sinaloa; Durango",Not reported,0.1,5
Paul (2006),2006-09-21 to 2006-09-25,Category 4,0,None reported,Not reported,0,5
Sergio (2006),2006-11-27 to 2006-12-05,Category 4,0,None reported,Not reported,0,9
Dean (2007),2007-08-13 to 2007-08-23,Category 5,45,"Lesser Antilles; Jamaica; Yucatan Peninsula; Mexico",Not reported,1.6,11
Felix (2007),2007-08-31 to 2007-09-05,Category 5,133,"Venezuela; Nicaragua; Honduras",Not reported,0.72,6
Humberto (2007),2007-09-12 to 2007-09-14,Category 1,1,"Texas; Louisiana",Not reported,0.05,3
Karen (2007),2007-09-25 to 2007-09-30,Category 1,0,None reported,Not reported,0,6
Lorenzo (2007),2007-09-25 to 2007-09-28,Category 1,2,"Veracruz; Tamaulipas",Not reported,0.02,4
Noel (2007),2007-10-28 to 2007-11-02,Category 1,226,"Dominican Republic; Haiti; Cuba; Bahamas; Eastern United States",Not reported,0.5,6
Cosme (2007),2007-06-01 to 2007-06-05,Category 1,0,None reported,Not reported,0,5
Flossie (2007),2007-08-08 to 2007-08-17,Category 4,0,Hawaiian Islands,Not reported,0,10
Henriette (2007),2007-08-29 to 2007-09-06,Category 1,7,"Baja California Sur; Sonora",Not reported,0.025,9
Ivo (2007),2007-08-22 to 2007-08-26,Category 2,0,None reported,Not reported,0,5
Bertha (2008),2008-07-03 to 2008-07-20,Category 3,0,Bermuda,Not reported,0,17
Dolly (2008),2008-07-20 to 2008-07-25,Category 2,2,"Yucatan Peninsula; Texas",Not reported,1.05,5
Gustav (2008),2008-08-25 to 2008-09-04,Category 4,153,"Haiti; Dominican Republic; Jamaica; Cuba; Louisiana",Not reported,8.31,10
Hanna (2008),2008-08-28 to 2008-09-07,Category 1,537,"Haiti; Bahamas; South Carolina; North Carolina",Not reported,0.2,10
Ike (2008),2008-09-01 to 2008-09-14,Category 4,195,"Haiti; Cuba; Texas; Louisiana; Midwestern United States",Not reported,38.0,13
Kyle (2008),2008-09-25 to 2008-09-29,Category 1,0,"Nova Scotia; Maine",Not reported,0.03,4
Omar (2008),2008-10-13 to 2008-10-18,Category 4,1,Lesser Antilles,Not reported,0.08,5
Paloma (2008),2008-11-05 to 2008-11-10,Category 4,1,"Cayman Islands; Cuba",Not reported,0.4,5
Boris (2008),2008-06-27 to 2008-07-03,Category 1,0,None reported,Not reported,0,6
Elida (2008),2008-08-01 to 2008-08-07,Category 1,0,None reported,Not reported,0,6
Fausto (2008),2008-08-04 to 2008-08-10,Category 3,0,None reported,Not reported,0,6
Genevieve (2008),2008-08-15 to 2008-08-24,Category 4,0,None reported,Not reported,0,9
Hernan (2008),2008-08-30 to 2008-09-02,Category 1,0,None reported,Not reported,0,3
Marie (2008),2008-09-05 to 2008-09-14,Category 3,0,None reported,Not reported,0,9
Norbert (2008),2008-10-04 to 2008-10-12,Category 4,8,"Baja California Sur; Sonora",Not reported,0.02,8
Bill (2009),2009-08-15 to 2009-08-24,Category 4,2,"Bermuda; Newfoundland; East Coast of the United States",Not reported,0,10
Fred (2009),2009-09-07 to 2009-09-12,Category 3,0,None reported,Not reported,0,6
Ida (2009),2009-11-04 to 2009-11-10,Category 2,7,"Nicaragua; East Coast of the United States",Not reported,0.5,7
Neki (2009),2009-10-18 to 2009-10-26,Category 4,0,None reported,Not reported,0,9
Andres (2009),2009-06-28 to 2009-07-03,Category 2,0,None reported,Not reported,0,6
Carlos (2009),2009-07-11 to 2009-07-16,Category 4,0,None reported,Not reported,0,6
Felicia (2009),2009-08-03 to 2009-08-12,Category 4,0,Hawaiian Islands,Not reported,0,10
Guillermo (2009),2009-08-12 to 2009-08-21,Category 4,0,None reported,Not reported,0,10
Jimena (2009),2009-08-28 to 2009-09-04,Category 4,0,Baja California Sur,Not reported,0.01,8
Linda (2009),2009-09-06 to 2009-09-12,Category 3,0,None reported,Not reported,0,7
Rick (2009),2009-10-15 to 2009-10-21,Category 5,0,"Baja California Sur; Sinaloa",Not reported,0.01,7
Alex (2010),2010-06-25 to 2010-07-02,Category 2,51,"Belize; Yucatan Peninsula; Northeastern Mexico; Texas",Not reported,1.5,7
Danielle (2010),2010-08-21 to 2010-08-30,Category 4,0,None reported,Not reported,0,9
Earl (2010),2010-08-25 to 2010-09-05,Category 4,4,"Leeward Islands; North Carolina; Atlantic Canada",Not reported,0.03,11
Igor (2010),2010-09-08 to 2010-09-21,Category 4,4,"Bermuda; Newfoundland",Not reported,0.2,13
Julia (2010),2010-09-12 to 2010-09-20,Category 4,0,None reported,Not reported,0,8
Karl (2010),2010-09-14 to 2010-09-18,Category 3,22,"Yucatan Peninsula; Veracruz",Not reported,3.9,4
Lisa (2010),2010-09-20 to 2010-09-27,Category 1,0,None reported,Not reported,0,7
Otto (2010),2010-10-06 to 2010-10-10,Category 1,0,Leeward Islands,Not reported,0.005,4
Paula (2010),2010-10-11 to 2010-10-15,Category 2,0,"Cuba; Yucatan Peninsula",Not reported,0,4
Richard (2010),2010-10-20 to 2010-10-26,Category 3,4,"Belize; Yucatan Peninsula",Not reported,0.4,6
Shary (2010),2010-10-28 to 2010-10-30,Category 1,0,"Puerto Rico; Bermuda",Not reported,0,2
Tomas (2010),2010-10-29 to 2010-11-07,Category 2,44,"Windward Islands; Saint Lucia; Haiti",Not reported,0.5,9
Celia (2010),2010-06-18 to 2010-06-28,Category 5,0,None reported,Not reported,0,10
Darby (2010),2010-06-23 to 2010-06-28,Category 1,0,None reported,Not reported,0,5
Frank (2010),2010-08-21 to 2010-08-28,Category 3,0,None reported,Not reported,0,7
Irene (2011),2011-08-21 to 2011-08-30,Category 3,56,"Caribbean; Bahamas; East Coast of the United States",Not reported,14.2,10
Katia (2011),2011-08-29 to 2011-09-12,Category 4,0,"United Kingdom; Ireland",Not reported,0,15
Maria (2011),2011-09-06 to 2011-09-16,Category 1,0,Newfoundland,Not reported,0,11
Nate (2011),2011-09-07 to 2011-09-11,Category 1,9,"Mexico; Texas",Not reported,0.02,5
Ophelia (2011),2011-09-20 to 2011-10-03,Category 4,0,Newfoundland,Not reported,0,14
Philippe (2011),2011-09-24 to 2011-10-06,Category 1,0,None reported,Not reported,0,13
Rina (2011),2011-10-23 to 2011-10-28,Category 3,0,"Yucatan Peninsula; Cuba",Not reported,0.005,6
Adrian (2011),2011-06-07 to 2011-06-10,Category 4,0,None reported,Not reported,0,4
Beatriz (2011),2011-06-19 to 2011-06-22,Category 1,0,Southwestern Mexico,Not reported,0,4
Calvin (2011),2011-07-04 to 2011-07-07,Category 1,0,None reported,Not reported,0,4
Dora (2011),2011-07-18 to 2011-07-25,Category 4,0,None reported,Not reported,0,8
Eugene (2011),2011-08-04 to 2011-08-11,Category 4,0,None reported,Not reported,0,8
Greg (2011),2011-07-11 to 2011-07-15,Category 1,0,None reported,Not reported,0,5
Hilary (2011),2011-09-21 to 2011-09-29,Category 4,0,None reported,Not reported,0,9
Jova (2011),2011-10-06 to 2011-10-12,Category 3,2,Jalisco,Not reported,0.21,7
Irwin (2011),2011-09-27 to 2011-10-02,Category 1,0,None reported,Not reported,0,6
Kenneth (2011),2011-11-19 to 2011-11-25,Category 4,0,None reported,Not reported,0,7
Chris (2012),2012-06-18 to 2012-06-22,Category 1,0,None reported,Not reported,0,4
Ernesto (2012),2012-08-01 to 2012-08-10,Category 2,11,"Lesser Antilles; Belize; Yucatan Peninsula; Mexico",Not reported,0.085,9
Gordon (2012),2012-08-15 to 2012-08-21,Category 2,0,Azores,Not reported,0,6
Isaac (2012),2012-08-21 to 2012-08-31,Category 1,41,"Haiti; Dominican Republic; Cuba; Louisiana",Not reported,3.0,10
Kirk (2012),2012-08-28 to 2012-09-02,Category 3,0,None reported,Not reported,0,5
Leslie (2012),2012-08-30 to 2012-09-11,Category 1,0,Newfoundland,Not reported,0,12
Michael (2012),2012-09-03 to 2012-09-11,Category 3,0,None reported,Not reported,0,8
Nadine (2012),2012-09-10 to 2012-10-03,Category 1,0,Azores,Not reported,0,23
Rafael (2012),2012-10-12 to 2012-10-17,Category 1,3,"Lesser Antilles; Bermuda",Not reported,0.01,5
Sandy (2012),2012-10-22 to 2012-10-29,Category 3,233,"Jamaica; Cuba; Bahamas; New Jersey; New York",Not reported,70.0,7
Bud (2012),2012-05-21 to 2012-05-26,Category 4,0,None reported,Not reported,0,5
Carlotta (2012),2012-06-14 to 2012-06-16,Category 2,5,"Oaxaca; Guerrero",Not reported,0.01,2
Daniel (2012),2012-07-04 to 2012-07-09,Category 4,0,None reported,Not reported,0,5
Emilia (2012),2012-07-06 to 2012-07-15,Category 4,0,None reported,Not reported,0,9
Fabio (2012),2012-07-12 to 2012-07-19,Category 3,0,None reported,Not reported,0,7
Gilma (2012),2012-08-01 to 2012-08-07,Category 3,0,None reported,Not reported,0,6
Ileana (2012),2012-08-02 to 2012-08-09,Category 3,0,None reported,Not reported,0,7
Lane (2012),2012-09-13 to 2012-09-17,Category 1,0,None reported,Not reported,0,4
Miriam (2012),2012-09-21 to 2012-10-01,Category 4,0,None reported,Not reported,0,10
Paul (2012),2012-10-11 to 2012-10-17,Category 3,0,Baja California Peninsula,Not reported,0,6
Humberto (2013),2013-09-08 to 2013-09-19,Category 1,0,None reported,Not reported,0,11
Ingrid (2013),2013-09-12 to 2013-09-17,Category 1,32,"Northeastern Mexico; Tamaulipas",Not reported,1.5,5
Barbara (2013),2013-05-28 to 2013-05-30,Category 1,3,Oaxaca,Not reported,0.01,2
Cosme (2013),2013-06-22 to 2013-06-26,Category 1,0,None reported,Not reported,0,4
Dalila (2013),2013-07-08 to 2013-07-14,Category 2,0,None reported,Not reported,0,6
Erick (2013),2013-07-04 to 2013-07-09,Category 1,0,None reported,Not reported,0,5
Gil (2013),2013-07-27 to 2013-08-06,Category 3,0,None reported,Not reported,0,10
Henriette (2013),2013-08-31 to 2013-09-08,Category 1,0,None reported,Not reported,0,8
Kiko (2013),2013-08-19 to 2013-08-25,Category 3,0,None reported,Not reported,0,6
Manuel (2013),2013-09-13 to 2013-09-19,Category 1,169,"Guerrero; Sinaloa; Western Mexico",Not reported,4.2,6
Raymond (2013),2013-10-20 to 2013-10-30,Category 3,0,Southwestern Mexico,Not reported,0,10
Arthur (2014),2014-07-01 to 2014-07-05,Category 2,0,North Carolina,Not reported,0.025,4
Bertha (2014),2014-07-28 to 2014-08-06,Category 1,0,"Lesser Antilles; Bermuda",Not reported,0,9
Cristobal (2014),2014-08-23 to 2014-08-29,Category 1,3,"Bahamas; Bermuda",Not reported,0,6
Edouard (2014),2014-09-11 to 2014-09-19,Category 3,0,None reported,Not reported,0,8
Fay (2014),2014-10-10 to 2014-10-13,Category 1,0,Bermuda,Not reported,0.04,3
Gonzalo (2014),2014-10-12 to 2014-10-19,Category 4,1,"Leeward Islands; Bermuda",Not reported,0.4,7
Ana (2014),2014-10-13 to 2014-10-25,Category 1,0,Hawaiian Islands,Not reported,0,12
Amanda (2014),2014-05-22 to 2014-05-29,Category 5,0,None reported,Not reported,0,7
Cristina (2014),2014-08-09 to 2014-08-16,Category 4,0,None reported,Not reported,0,7
Genevieve (2014),2014-07-25 to 2014-08-14,Category 4,0,None reported,Not reported,0,20
Hernan (2014),2014-08-24 to 2014-08-30,Category 1,0,None reported,Not reported,0,6
Iselle (2014),2014-07-31 to 2014-08-09,Category 4,0,Hawaiian Islands,Not reported,0.079,9
Julio (2014),2014-08-04 to 2014-08-16,Category 3,0,None reported,Not reported,0,12
Karina (2014),2014-08-13 to 2014-08-27,Category 4,0,None reported,Not reported,0,14
Lowell (2014),2014-09-08 to 2014-09-13,Category 1,0,None reported,Not reported,0,5
Marie (2014),2014-08-22 to 2014-08-28,Category 5,1,California,Not reported,0,6
Norbert (2014),2014-09-02 to 2014-09-08,Category 4,5,"Baja California Peninsula; Arizona",Not reported,0.005,6
Odile (2014),2014-09-10 to 2014-09-17,Category 4,15,"Baja California Sur; Southwestern United States",Not reported,1.25,7
Polo (2014),2014-09-14 to 2014-09-19,Category 2,0,None reported,Not reported,0,5
Rachel (2014),2014-09-17 to 2014-09-22,Category 3,0,None reported,Not reported,0,5
Simon (2014),2014-10-01 to 2014-10-06,Category 4,0,None reported,Not reported,0,5
Vance (2014),2014-10-30 to 2014-11-05,Category 2,0,None reported,Not reported,0,6
Danny (2015),2015-08-18 to 2015-08-24,Category 3,0,Leeward Islands,Not reported,0,6
Fred (2015),2015-08-30 to 2015-09-06,Category 1,0,Cabo Verde,Not reported,0,7
Joaquin (2015),2015-09-28 to 2015-10-07,Category 4,34,"Bahamas; Turks and Caicos; East Coast of the United States",Not reported,0.2,9
Kate (2015),2015-11-08 to 2015-11-11,Category 1,0,Bermuda,Not reported,0,3
Kilo (2015),2015-08-20 to 2015-09-05,Category 4,0,None reported,Not reported,0,16
Loke (2015),2015-09-16 to 2015-09-22,Category 1,0,None reported,Not reported,0,6
Oho (2015),2015-10-05 to 2015-10-08,Category 1,0,None reported,Not reported,0,3
Andres (2015),2015-05-28 to 2015-06-04,Category 4,0,None reported,Not reported,0,7
Blanca (2015),2015-05-31 to 2015-06-08,Category 4,0,Baja California Peninsula,Not reported,0,8
Carlos (2015),2015-06-10 to 2015-06-17,Category 4,0,None reported,Not reported,0,7
Dolores (2015),2015-07-11 to 2015-07-20,Category 4,0,None reported,Not reported,0,9
Guillermo (2015),2015-08-01 to 2015-08-10,Category 4,0,None reported,Not reported,0,9
Hilda (2015),2015-08-06 to 2015-08-16,Category 4,0,None reported,Not reported,0,10
Ignacio (2015),2015-08-25 to 2015-09-04,Category 4,0,Hawaiian Islands,Not reported,0,10
Jimena (2015),2015-08-29 to 2015-09-08,Category 4,0,None reported,Not reported,0,10
Linda (2015),2015-09-05 to 2015-09-16,Category 3,2,Southwestern United States,Not reported,0,11
Marty (2015),2015-09-24 to 2015-09-28,Category 2,1,Colima,Not reported,0.01,4
Olaf (2015),2015-10-13 to 2015-10-21,Category 4,0,None reported,Not reported,0,8
Patricia (2015),2015-10-20 to 2015-10-24,Category 5,13,"Jalisco; Colima; Central Mexico",Not reported,0.462,4
Sandra (2015),2015-11-23 to 2015-11-28,Category 4,0,None reported,Not reported,0,5
Alex (2016),2016-01-07 to 2016-01-15,Category 1,0,Azores,Not reported,0,9
Earl (2016),2016-08-02 to 2016-08-06,Category 1,89,"Belize; Mexico; Guatemala",Not reported,0.1,5
Gaston (2016),2016-08-22 to 2016-09-02,Category 3,0,Azores,Not reported,0,12
Hermine (2016),2016-08-28 to 2016-09-03,Category 1,5,"Florida; East Coast of the United States",Not reported,0.55,7
Matthew (2016),2016-09-28 to 2016-10-09,Category 5,652,"Haiti; Cuba; Bahamas; Southeastern United States",Not reported,10.7,12
Nicole (2016),2016-10-04 to 2016-10-18,Category 4,0,Bermuda,Not reported,0.04,15
Otto (2016),2016-11-20 to 2016-11-25,Category 3,23,"Nicaragua; Costa Rica; Panama",Not reported,0.19,6
Pali (2016),2016-01-07 to 2016-01-14,Category 2,0,None reported,Not reported,0,8
Blas (2016),2016-07-03 to 2016-07-10,Category 4,0,None reported,Not reported,0,8
Celia (2016),2016-07-12 to 2016-07-16,Category 3,0,None reported,Not reported,0,5
Darby (2016),2016-07-11 to 2016-07-25,Category 3,0,Hawaiian Islands,Not reported,0,15
Frank (2016),2016-07-27 to 2016-08-03,Category 4,0,None reported,Not reported,0,8
Georgette (2016),2016-07-19 to 2016-07-27,Category 4,0,Hawaiian Islands,Not reported,0,9
Lester (2016),2016-08-24 to 2016-09-10,Category 4,0,Hawaiian Islands,Not reported,0,18
Madeline (2016),2016-08-26 to 2016-09-02,Category 3,0,Hawaiian Islands,Not reported,0,8
Newton (2016),2016-09-04 to 2016-09-07,Category 1,4,"Baja California Sur; Sonora",Not reported,0.01,4
Orlene (2016),2016-09-11 to 2016-09-17,Category 3,0,None reported,Not reported,0,7
Paine (2016),2016-09-16 to 2016-09-20,Category 1,0,None reported,Not reported,0,5
Ulika (2016),2016-09-17 to 2016-09-23,Category 1,0,None reported,Not reported,0,7
Seymour (2016),2016-10-23 to 2016-10-28,Category 4,0,None reported,Not reported,0,6
Franklin (2017),2017-08-06 to 2017-08-10,Category 1,4,"Yucatan Peninsula; Veracruz",Not reported,0.03,4
Gert (2017),2017-08-12 to 2017-08-17,Category 3,0,None reported,Not reported,0,5
Harvey (2017),2017-08-17 to 2017-09-01,Category 4,107,"Texas; Louisiana",Not reported,125.0,15
Irma (2017),2017-08-30 to 2017-09-12,Category 5,134,"Leeward Islands; Cuba; Florida",Not reported,77.2,13
Jose (2017),2017-09-05 to 2017-09-25,Category 4,0,"Leeward Islands; New England",Not reported,0,20
Katia (2017),2017-09-05 to 2017-09-09,Category 2,3,Veracruz,Not reported,0.02,4
Lee (2017),2017-09-15 to 2017-09-30,Category 3,0,None reported,Not reported,0,15
Maria (2017),2017-09-16 to 2017-10-02,Category 5,3059,"Dominica; Puerto Rico; Turks and Caicos",Not reported,90.0,16
